"TAIR_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm"
"AT5G44420",83.8795890930401,4.98825181399545,3.77477694084782e-05,0.000280393709127156,"PDF1.2","protein_coding",1.90910492376598
"AT2G26010",22.9567840312336,4.51817868117598,6.70541720333297e-05,0.000474427224292683,"PDF1.3","protein_coding",0.522160304027326
"AT1G34540",25.7125022072701,2.80459373947673,1.92400688442908e-09,3.00942162537343e-08,"CYP94D1","protein_coding",0.583155912664965
"AT3G53590",13.5212512596771,2.58863881910105,2.82565306831288e-05,0.000215221394399706,"AT3G53590","protein_coding",0.306986148285769
"AT2G22810",19.0049175888515,2.58404543556639,2.77111251916475e-06,2.599906681434e-05,"ACS4","protein_coding",0.432127923796612
"AT3G10185",34.5879235978751,2.57404580580241,1.77012360526854e-11,3.47642750745923e-10,"AT3G10185","protein_coding",0.784569126593873
"AT3G61920",120.465707037163,2.57225740899474,1.50597006023748e-35,1.54101553173273e-33,"AT3G61920","protein_coding",2.73069962340034
"AT2G37030",27.5394981781568,2.56037808988351,6.3985580917617e-08,7.85401485949538e-07,"AT2G37030","protein_coding",0.62641905974126
"AT2G20520",307.58723375323,2.34884905317315,2.6733143472377e-13,6.30821525601413e-12,"FLA6","protein_coding",6.98579548886621
"AT5G62730",33.8137746354683,2.32834535663799,7.48355923049289e-10,1.23585957789844e-08,"AT5G62730","protein_coding",0.766790122814696
"AT5G45240",32.0821744965012,2.29232425038,5.42121571904709e-09,7.89320357817109e-08,"AT5G45240","protein_coding",0.727664683541234
"AT1G34330",177.173137655524,2.22543522647601,1.3744656394924e-10,2.4529786938553e-09,NA,NA,4.02210504273298
"AT4G01490",95.1844297201316,2.21725538803676,1.34405754111937e-23,7.24930345700292e-22,NA,NA,2.16153984684442
"AT3G28270",1197.82053587148,2.17376311655889,1.27030879317002e-134,1.73857637205232e-131,"AT3G28270","protein_coding",27.1990104740637
"AT1G60590",533.94660420525,2.1372013280018,3.33752673585515e-84,1.55500341407991e-81,"AT1G60590","protein_coding",12.1205143022822
"AT1G01453",67.9565688994881,2.12745774371471,4.81094047059296e-16,1.50499963464349e-14,"AT1G01453","protein_coding",1.54327771973557
"AT4G38860",385.138927481095,2.11435237265371,2.93924088898448e-68,8.81691739547699e-66,"AT4G38860","protein_coding",8.75445937254343
"AT3G47770",58.5923463493095,2.10432515792759,3.89827974719076e-13,9.08133296850886e-12,"ABCA6","protein_coding",1.33064274639819
"AT1G23205",613.278294924027,2.10163084947686,1.66643633514021e-111,1.30327224524644e-108,"AT1G23205","protein_coding",13.9284331743337
"AT1G29540",20.2555812307352,2.07849413861598,9.51174547574779e-05,0.000650494073791146,"AT1G29540","protein_coding",0.459900369935999
"AT1G33090",25.1131703669544,2.07723232677722,2.53878667370312e-06,2.40564044053444e-05,"AT1G33090","protein_coding",0.568931905437267
"AT1G16410",1076.11421556957,2.03915570966869,8.29942067010046e-145,1.39800549102969e-141,"CYP79F1","protein_coding",24.4669931629857
"AT1G33890",17.9376611635006,2.0270311181388,4.3314332426119e-05,0.000317648108327915,"AT1G33890","protein_coding",0.407491309814275
"AT3G46340",22.7619534625366,2.02352048952199,9.62137902343757e-06,8.16307469411995e-05,"AT3G46340","protein_coding",0.5158265559371
"AT1G78230",641.327661167442,1.97114172897783,5.60520138833067e-82,2.40671960787578e-79,"AT1G78230","protein_coding",14.5755499780722
"AT1G60050",39.8013229328518,1.94422684204533,4.68241439321889e-08,5.83250912302089e-07,"UMAMIT35","protein_coding",0.905356073332056
"AT2G29000",42.3879095169694,1.92729015499204,5.33527745782844e-09,7.79300673216849e-08,"AT2G29000","protein_coding",0.96415362415102
"AT1G74670",2313.20256689713,1.89479243301478,3.28295917786644e-44,4.89049252223941e-42,"GASA6","protein_coding",52.5833372147798
"AT5G00650",98.5472722473256,1.87054301220821,2.03141266125013e-17,7.20970412577882e-16,NA,NA,2.24023049479619
"AT4G25790",195.709138089836,1.86091701469537,6.06999802295486e-32,5.31683266826662e-30,"AT4G25790","protein_coding",4.45181278819211
"AT2G27440",28.1018464390663,1.84949141231935,1.73117857887376e-06,1.68861240624399e-05,NA,NA,0.639171270861502
"AT1G09350",20.6160624118382,1.84623602477923,5.9625651719826e-05,0.000425303752886238,"GolS3","protein_coding",0.46890551130269
"AT4G04840",1832.80229617414,1.80785751459034,3.52686075867986e-138,5.14874645957144e-135,"MSRB6","protein_coding",41.6679659883573
"AT1G34510",520.863419635515,1.77359079488068,1.24595447064766e-17,4.50229554426444e-16,"AT1G34510","protein_coding",11.8615313821243
