Gene stable ID,Gene name,Gene type
AT3G11415,AT3G11415,ncRNA
AT1G31258,AT1G31258,ncRNA
AT5G24735,AT5G24735,ncRNA
AT2G45780,AT2G45780,ncRNA
AT2G42425,AT2G42425,ncRNA
AT4G01533,AT4G01533,ncRNA
AT4G09195,AT4G09195,ncRNA
AT1G79075,AT1G79075,ncRNA
AT5G10278,AT5G10278,ncRNA
AT1G67238,AT1G67238,ncRNA
AT4G36648,AT4G36648,ncRNA
AT4G03605,AT4G03605,ncRNA
AT2G15128,AT2G15128,ncRNA
AT3G02832,AT3G02832,ncRNA
AT3G48115,AT3G48115,ncRNA
AT1G07977,AT1G07977,ncRNA
AT1G18745,AT1G18745,ncRNA
AT5G40275,AT5G40275,ncRNA
AT4G09405,AT4G09405,ncRNA
AT5G02975,AT5G02975,ncRNA
AT5G24206,AT5G24206,ncRNA
AT5G23155,AT5G23155,ncRNA
AT3G45638,AT3G45638,ncRNA
AT5G24205,AT5G24205,ncRNA
AT5G03285,AT5G03285,ncRNA
AT3G00980,AT3G00980,ncRNA
AT3G25795,AT3G25795,ncRNA
AT2G42485,AT2G42485,ncRNA
AT3G52748,AT3G52748,ncRNA
AT3G52742,AT3G52742,ncRNA
AT3G60176,AT3G60176,ncRNA
AT1G32172,AT1G32172,ncRNA
AT1G26558,AT1G26558,ncRNA
AT4G16892,AT4G16892,ncRNA
AT2G10537,AT2G10537,ncRNA
AT1G78865,AT1G78865,ncRNA
AT2G09215,AT2G09215,ncRNA
AT1G10682,AT1G10682,ncRNA
AT2G19796,AT2G19796,ncRNA
AT1G04425,AT1G04425,ncRNA
AT1G15405,AT1G15405,ncRNA
AT2G45245,AT2G45245,ncRNA
AT1G06677,AT1G06677,ncRNA
AT2G45023,AT2G45023,ncRNA
AT1G14518,AT1G14518,ncRNA
AT5G05785,AT5G05785,ncRNA
AT1G19968,AT1G19968,ncRNA
AT2G36307,ZPR4,ncRNA
AT1G24068,AT1G24068,ncRNA
AT3G44798,AT3G44798,ncRNA
AT5G06095,AT5G06095,ncRNA
AT1G08933,AT1G08933,ncRNA
AT3G04535,AT3G04535,ncRNA
AT4G30872,AT4G30872,ncRNA
AT3G07485,AT3G07485,ncRNA
AT3G03065,AT3G03065,ncRNA
AT5G33439,AT5G33439,ncRNA
AT3G05215,AT3G05215,ncRNA
AT5G05295,AT5G05295,ncRNA
AT3G61198,AT3G61198,ncRNA
AT5G22788,AT5G22788,ncRNA
AT1G70581,AT1G70581,ncRNA
AT4G30975,AT4G30975,ncRNA
AT1G58808,AT1G58808,ncRNA
AT3G04485,AT3G04485,ncRNA
AT3G08410,AT3G08410,ncRNA
AT5G23410,AT5G23410,ncRNA
AT4G05365,AT4G05365,ncRNA
AT5G43725,AT5G43725,ncRNA
AT1G25175,AT1G25175,ncRNA
AT1G11592,AT1G11592,ncRNA
AT4G26255,AT4G26255,ncRNA
AT2G09155,AT2G09155,ncRNA
AT1G70185,AT1G70185,ncRNA
AT4G23205,AT4G23205,ncRNA
AT4G08035,AT4G08035,ncRNA
AT1G26235,AT1G26235,ncRNA
AT1G34418,AT1G34418,ncRNA
AT3G57157,AT3G57157,ncRNA
AT1G08823,AT1G08823,ncRNA
AT4G40065,AT4G40065,ncRNA
AT1G64572,AT1G64572,ncRNA
AT3G60238,AT3G60238,ncRNA
AT5G28262,AT5G28262,ncRNA
AT2G39681,TAS2,ncRNA
AT4G05940,AT4G05940,ncRNA
AT4G04315,AT4G04315,ncRNA
AT5G02135,AT5G02135,ncRNA
AT5G34871,AT5G34871,ncRNA
AT5G38005,AT5G38005,ncRNA
AT4G39404,AT4G39404,ncRNA
AT2G42388,AT2G42388,ncRNA
AT1G31935,AT1G31935,ncRNA
AT2G07975,AT2G07975,ncRNA
AT2G07575,AT2G07575,ncRNA
AT5G43403,AT5G43403,ncRNA
AT3G05185,AT3G05185,ncRNA
AT1G11175,AT1G11175,ncRNA
AT5G37485,AT5G37485,ncRNA
AT1G49952,AT1G49952,ncRNA
AT3G59765,AT3G59765,ncRNA
AT3G07635,AT3G07635,ncRNA
AT3G03695,AT3G03695,ncRNA
AT4G03811,AT4G03811,ncRNA
AT2G18735,AT2G18735,ncRNA
AT1G66173,AT1G66173,ncRNA
AT1G58590,AT1G58590,ncRNA
AT1G49832,AT1G49832,ncRNA
AT1G21529,AT1G21529,ncRNA
AT1G09583,AT1G09583,ncRNA
AT4G13495,AT4G13495,ncRNA
AT3G17185,TAS3,ncRNA
AT2G15555,AT2G15555,ncRNA
AT1G55525,AT1G55525,ncRNA
AT1G05813,AT1G05813,ncRNA
AT1G07257,AT1G07257,ncRNA
AT4G14548,AT4G14548,ncRNA
AT5G28824,AT5G28824,ncRNA
AT3G13277,AT3G13277,ncRNA
AT1G77138,AT1G77138,ncRNA
AT1G64618,AT1G64618,ncRNA
AT1G70518,AT1G70518,ncRNA
AT5G08575,AT5G08575,ncRNA
AT2G44995,AT2G44995,ncRNA
AT1G50055,TAS1B,ncRNA
AT3G14185,AT3G14185,ncRNA
AT1G23052,AT1G23052,ncRNA
AT4G02005,AT4G02005,ncRNA
AT1G34392,AT1G34392,ncRNA
AT2G30945,AT2G30945,ncRNA
AT2G14878,AT2G14878,ncRNA
AT4G15242,AT4G15242,ncRNA
AT3G46614,AT3G46614,ncRNA
AT1G33615,AT1G33615,ncRNA
AT5G49615,TAS3b,ncRNA
AT4G16748,AT4G16748,ncRNA
AT4G12917,AT4G12917,ncRNA
AT4G10507,AT4G10507,ncRNA
AT3G07215,AT3G07215,ncRNA
AT5G08125,AT5G08125,ncRNA
AT2G05518,AT2G05518,ncRNA
AT3G41761,AT3G41761,ncRNA
AT3G06962,AT3G06962,ncRNA
AT3G05152,AT3G05152,ncRNA
AT1G08253,AT1G08253,ncRNA
AT3G44765,AT3G44765,ncRNA
AT3G15536,AT3G15536,ncRNA
AT2G06562,AT2G06562,ncRNA
AT1G09073,AT1G09073,ncRNA
AT2G15292,AT2G15292,ncRNA
AT4G04223,AT4G04223,ncRNA
AT1G07507,AT1G07507,ncRNA
AT5G06955,AT5G06955,ncRNA
AT1G46554,AT1G46554,ncRNA
AT2G06002,AT2G06002,ncRNA
AT5G33399,AT5G33399,ncRNA
AT1G50659,AT1G50659,ncRNA
AT3G12965,AT3G12965,ncRNA
AT1G05697,AT1G05697,ncRNA
AT3G26612,AT3G26612,ncRNA
AT1G04867,AT1G04867,ncRNA
AT2G08610,AT2G08610,ncRNA
AT3G27884,AT3G27884,ncRNA
AT2G27400,TAS1A,ncRNA
AT1G52347,AT1G52347,ncRNA
AT1G64563,AT1G64563,ncRNA
AT2G24735,AT2G24735,ncRNA
AT2G21188,AT2G21188,ncRNA
AT3G06125,AT3G06125,ncRNA
AT2G32795,AT2G32795,ncRNA
AT4G06701,AT4G06701,ncRNA
AT4G31408,AT4G31408,ncRNA
AT3G53365,AT3G53365,ncRNA
AT1G06797,AT1G06797,ncRNA
AT5G40316,AT5G40316,ncRNA
AT2G43375,AT2G43375,ncRNA
AT2G09475,AT2G09475,ncRNA
AT1G43765,AT1G43765,ncRNA
AT3G61118,AT3G61118,ncRNA
AT5G45475,AT5G45475,ncRNA
AT2G05685,AT2G05685,ncRNA
AT2G07042,AT2G07042,ncRNA
AT1G16635,AT1G16635,ncRNA
AT2G07405,AT2G07405,ncRNA
AT2G22482,AT2G22482,ncRNA
AT2G18440,GUT15,ncRNA
AT1G11185,AT1G11185,ncRNA
AT4G05905,AT4G05905,ncRNA
AT5G00885,AT5G00885,ncRNA
AT1G05547,AT1G05547,ncRNA
AT5G44569,AT5G44569,ncRNA
AT2G39675,TAS1C,ncRNA
AT1G08493,AT1G08493,ncRNA
AT1G09277,AT1G09277,ncRNA
AT1G22403,AT1G22403,ncRNA
AT3G55485,AT3G55485,ncRNA
AT5G48412,AT5G48412,ncRNA
AT3G60972,AT3G60972,ncRNA
AT2G09365,AT2G09365,ncRNA
AT4G16355,AT4G16355,ncRNA
AT4G03038,AT4G03038,ncRNA
AT1G67105,AT1G67105,ncRNA
AT2G41312,AT2G41312,ncRNA
AT3G18362,AT3G18362,ncRNA
AT2G04705,AT2G04705,ncRNA
AT1G52615,AT1G52615,ncRNA
AT2G30115,AT2G30115,ncRNA
AT5G07322,AT5G07322,ncRNA
AT5G06165,AT5G06165,ncRNA
AT5G02825,AT5G02825,ncRNA
AT5G57735,TASIR-ARF,ncRNA
AT1G57835,AT1G57835,ncRNA
AT1G68872,AT1G68872,ncRNA
AT5G50190,AT5G50190,ncRNA
AT3G54366,AT3G54366,ncRNA
AT1G69252,AT1G69252,ncRNA
AT2G31585,AT2G31585,ncRNA
AT2G46192,AT2G46192,ncRNA
AT2G01422,AT2G01422,ncRNA
AT2G05995,AT2G05995,ncRNA
AT3G41768,AT3G41768,rRNA
AT4G03935,AT4G03935,ncRNA
ATCG00950,,rRNA
ATCG01180,,rRNA
AT3G41979,AT2G01020,rRNA
ATMG00020,,rRNA
AT2G01020,AT2G01020,rRNA
ATCG01170,,rRNA
ATCG00920,,rRNA
ATMG01390,,rRNA
ATCG01210,,rRNA
ATCG01160,,rRNA
ATCG00970,,rRNA
ATMG01380,,rRNA
AT2G01010,AT2G01010,rRNA
ATCG00960,,rRNA
AT4G18725,,tRNA
AT1G61910,,tRNA
AT1G56940,,tRNA
ATMG00800,,tRNA
AT3G63003,,tRNA
AT1G56990,,tRNA
AT2G45020,,tRNA
AT5G02505,,tRNA
AT1G10440,,tRNA
AT3G46585,,tRNA
AT1G61880,,tRNA
AT1G05980,,tRNA
AT2G22220,,tRNA
AT1G57170,,tRNA
AT1G48080,,tRNA
AT1G60580,,tRNA
AT2G17810,,tRNA
AT4G16465,,tRNA
AT3G05835,,tRNA
AT1G80430,,tRNA
AT5G58495,,tRNA
AT1G60910,,tRNA
AT1G56760,,tRNA
AT5G09345,,tRNA
AT5G49435,,tRNA
AT1G09110,,tRNA
AT1G74610,,tRNA
AT5G43535,,tRNA
AT2G30850,,tRNA
AT1G56970,,tRNA
AT1G04720,,tRNA
AT5G27715,,tRNA
AT3G51265,,tRNA
AT5G35605,,tRNA
AT1G13010,,tRNA
ATCG00880,,tRNA
AT2G16240,,tRNA
ATCG00410,,tRNA
AT1G45238,,tRNA
AT3G16552,,tRNA
AT5G14495,,tRNA
AT1G57370,,tRNA
AT1G57480,,tRNA
AT4G03135,,tRNA
AT2G35220,,tRNA
ATMG09450,,tRNA
AT3G02315,,tRNA
AT1G56980,,tRNA
AT1G70050,,tRNA
AT3G30345,,tRNA
AT5G66568,,tRNA
AT1G28730,,tRNA
ATMG00420,,tRNA
AT4G25435,,tRNA
AT3G12585,,tRNA
AT3G52285,,tRNA
AT3G18815,,tRNA
AT5G07625,,tRNA
AT1G45246,,tRNA
AT4G16475,,tRNA
AT1G08870,,tRNA
AT3G15585,,tRNA
AT1G56830,,tRNA
AT1G73900,,tRNA
AT4G39615,,tRNA
AT4G24025,,tRNA
AT1G07760,,tRNA
AT5G56745,,tRNA
AT1G57140,,tRNA
AT4G31695,,tRNA
AT1G22320,,tRNA
AT5G59945,,tRNA
AT1G16450,,tRNA
AT1G59880,,tRNA
AT1G28820,,tRNA
AT1G49690,,tRNA
AT1G57060,,tRNA
AT1G63510,,tRNA
AT5G15815,,tRNA
AT1G68950,,tRNA
AT1G28900,,tRNA
ATCG01290,,tRNA
AT4G39195,,tRNA
AT1G57300,,tRNA
AT2G15950,,tRNA
ATCG00060,,tRNA
AT5G63145,,tRNA
AT2G36510,,tRNA
AT4G28915,,tRNA
AT2G25400,,tRNA
AT1G45240,,tRNA
AT5G11475,,tRNA
AT1G74570,,tRNA
AT5G23665,,tRNA
AT2G02600,,tRNA
AT2G33660,,tRNA
ATMG00340,,tRNA
AT5G53487,,tRNA
AT1G01870,,tRNA
AT5G02385,,tRNA
AT4G31075,,tRNA
AT4G32475,,tRNA
AT3G25715,,tRNA
AT2G07754,,tRNA
AT1G79240,,tRNA
AT1G30430,,tRNA
AT1G28950,,tRNA
ATMG00380,,tRNA
AT5G66535,,tRNA
AT4G11216,,tRNA
ATCG01200,,tRNA
AT5G39535,,tRNA
AT5G41605,,tRNA
AT2G07794,,tRNA
AT5G66755,,tRNA
AT4G39865,,tRNA
AT5G59395,,tRNA
AT1G26430,,tRNA
AT1G13840,,tRNA
ATCG00990,,tRNA
AT1G21420,,tRNA
AT5G03445,,tRNA
AT2G30190,,tRNA
AT4G20115,,tRNA
AT1G57500,,tRNA
AT4G11177,,tRNA
AT5G46325,,tRNA
AT1G57120,,tRNA
AT5G56365,,tRNA
AT3G07025,,tRNA
AT1G11640,,tRNA
AT5G20856,,tRNA
AT3G12385,,tRNA
AT3G61545,,tRNA
AT3G51135,,tRNA
ATMG00100,,tRNA
AT1G79290,,tRNA
AT2G36860,,tRNA
AT2G07766,,tRNA
AT2G33140,,tRNA
AT5G05795,,tRNA
AT1G15450,,tRNA
AT1G60840,,tRNA
AT3G61755,,tRNA
ATCG00090,,tRNA
AT2G36520,,tRNA
AT5G09755,,tRNA
AT4G02055,,tRNA
AT2G07759,,tRNA
AT4G18255,,tRNA
AT5G50805,,tRNA
AT1G50070,,tRNA
AT1G57260,,tRNA
AT1G57420,,tRNA
AT4G16105,,tRNA
AT5G08075,,tRNA
AT2G33900,,tRNA
AT2G33940,,tRNA
AT3G48515,,tRNA
ATCG00310,,tRNA
AT5G65535,,tRNA
AT4G17765,,tRNA
AT4G10815,,tRNA
AT1G53410,,tRNA
AT1G57410,,tRNA
AT4G26375,,tRNA
AT5G52815,,tRNA
AT5G39895,,tRNA
AT4G36245,,tRNA
AT5G03452,,tRNA
AT1G56770,,tRNA
AT4G13265,,tRNA
AT1G28860,,tRNA
ATCG00980,,tRNA
AT5G60963,,tRNA
AT1G32620,,tRNA
AT2G33930,,tRNA
AT3G63006,,tRNA
AT5G21378,,tRNA
AT2G33950,,tRNA
AT3G10035,,tRNA
AT1G65830,,tRNA
AT3G50505,,tRNA
AT1G07580,,tRNA
AT4G11355,,tRNA
AT1G57510,,tRNA
AT3G11285,,tRNA
AT2G33650,,tRNA
AT5G48675,,tRNA
AT1G57100,,tRNA
AT5G54865,,tRNA
AT3G58035,,tRNA
ATMG09950,,tRNA
AT3G10015,,tRNA
AT1G71700,,tRNA
AT2G30180,,tRNA
AT5G32017,,tRNA
AT2G03700,,tRNA
AT2G07753,,tRNA
AT2G18310,,tRNA
AT5G64505,,tRNA
AT1G30830,,tRNA
AT1G52350,,tRNA
AT4G12115,,tRNA
AT5G18755,,tRNA
AT5G55055,,tRNA
AT3G58165,,tRNA
AT2G42020,,tRNA
AT3G06665,,tRNA
AT1G56740,,tRNA
AT1G57150,,tRNA
AT1G13240,,tRNA
ATCG00460,,tRNA
AT1G57030,,tRNA
ATCG00230,,tRNA
AT1G57400,,tRNA
AT2G07765,,tRNA
ATMG00360,,tRNA
AT3G53775,,tRNA
AT3G13223,,tRNA
AT5G44283,,tRNA
AT4G08345,,tRNA
AT1G77190,,tRNA
AT5G06685,,tRNA
AT3G02715,,tRNA
AT4G12405,,tRNA
AT1G21800,,tRNA
AT5G48835,,tRNA
AT4G12065,,tRNA
AT1G57390,,tRNA
AT1G06480,,tRNA
AT3G29095,,tRNA
AT1G03515,,tRNA
AT1G42120,,tRNA
AT5G64855,,tRNA
AT4G27885,,tRNA
AT5G03705,,tRNA
AT3G61105,,tRNA
AT2G33970,,tRNA
AT3G49925,,tRNA
AT2G33890,,tRNA
AT4G28362,,tRNA
ATMG00190,,tRNA
AT1G28870,,tRNA
AT3G55735,,tRNA
AT3G61825,,tRNA
AT1G56890,,tRNA
AT1G12590,,tRNA
AT3G53965,,tRNA
AT1G69130,,tRNA
AT1G79980,,tRNA
AT1G57310,,tRNA
AT4G31895,,tRNA
AT2G27560,,tRNA
ATMG01340,,tRNA
AT1G57160,,tRNA
AT1G57470,,tRNA
AT1G13720,,tRNA
AT1G57080,,tRNA
ATCG00940,,tRNA
AT1G28910,,tRNA
AT1G56850,,tRNA
AT1G56960,,tRNA
AT1G56730,,tRNA
AT1G28980,,tRNA
AT1G56950,,tRNA
AT5G10235,,tRNA
AT1G57290,,tRNA
AT5G57885,,tRNA
AT3G46875,,tRNA
AT1G56780,,tRNA
AT1G28780,,tRNA
AT1G20250,,tRNA
AT5G09655,,tRNA
AT5G15805,,tRNA
AT1G33370,,tRNA
AT1G68970,,tRNA
AT4G32265,,tRNA
AT4G34035,,tRNA
AT1G17670,,tRNA
AT1G08240,,tRNA
AT5G05945,,tRNA
AT2G36600,,tRNA
AT1G01270,,tRNA
AT1G45242,,tRNA
AT3G09585,,tRNA
AT1G28830,,tRNA
AT1G56920,,tRNA
AT3G45935,,tRNA
AT1G20040,,tRNA
AT5G64735,,tRNA
AT5G54375,,tRNA
AT1G15650,,tRNA
AT2G36140,,tRNA
AT3G52765,,tRNA
AT1G31110,,tRNA
AT1G50100,,tRNA
AT3G55734,ath-MIR393b,miRNA
AT3G07065,ath-MIR8165,miRNA
AT2G08015,ath-MIR5639,miRNA
AT1G06653,ath-MIR5666,miRNA
AT4G27765,ath-MIR828,miRNA
AT5G04935,ath-MIR854b,miRNA
AT3G26812,ath-MIR169i,miRNA
AT1G07867,ath-MIR156i,miRNA
AT1G06643,ath-MIR5630a,miRNA
AT1G48267,ath-MIR161,miRNA
AT5G41905,ath-MIR166e,miRNA
AT2G03445,ath-MIR398a,miRNA
AT1G18075,ath-MIR159b,miRNA
AT1G08287,ath-MIR5647,miRNA
AT2G05615,ath-MIR5020c,miRNA
AT1G35501,ath-MIR773a,miRNA
