ensembl_id,DMSO_S2,DMSO_S3,DMSO_S1,Estradiol_S3,Estradiol_S1,Estradiol_S2
AT1G01010,317,363,458,424,465,484
AT1G01020,587,669,761,654,669,679
AT1G01030,357,392,372,360,307,306
AT1G01040,2125,2385,2575,2520,2570,2587
AT1G01046,10,11,13,5,9,16
AT1G01050,2981,3583,3507,3865,3908,3818
AT1G01060,734,679,685,521,531,511
AT1G01070,276,295,304,231,238,248
AT1G01080,3544,4416,4421,3750,4052,4033
AT1G01090,11616,13056,13853,15532,16069,15473
AT1G01100,10224,12166,12588,12565,11966,11943
AT1G01110,181,247,261,224,269,248
AT1G01120,2658,2927,3021,1386,1685,1573
AT1G01130,46,46,49,32,50,40
AT1G01140,1697,1724,2118,1337,1485,1480
AT1G01150,4,6,3,4,9,9
AT1G01160,1177,1249,1413,1489,1397,1359
AT1G01170,1167,1429,1422,1485,1631,1566
AT1G01180,283,335,327,286,334,282
AT1G01183,0,4,1,2,0,0
AT1G01190,93,118,126,112,107,104
AT1G01200,100,101,92,72,86,87
AT1G01210,749,817,913,743,858,820
AT1G01220,1594,1764,1870,1638,1839,1711
AT1G01225,170,163,206,180,190,179
AT1G01230,687,742,810,917,929,908
AT1G01240,233,244,289,301,381,330
AT1G01250,27,25,36,30,26,18
AT1G01260,735,801,832,1170,1170,1193
AT1G01270,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0
AT1G01290,399,494,506,591,639,595
AT1G01300,3835,4722,4962,6406,6241,6206
AT1G01305,0,0,0,0,0,0
AT1G01310,1,1,2,0,1,1
AT1G01320,36282,41516,44868,31378,33294,33665
AT1G01335,0,0,0,0,0,0
AT1G01340,469,478,567,444,445,506
AT1G01350,856,953,997,923,954,1016
AT1G01355,2,1,0,2,3,3
AT1G01360,313,403,451,382,449,426
AT1G01370,213,289,308,390,398,420
AT1G01380,27,45,30,36,47,29
AT1G01390,237,259,262,146,157,163
AT1G01400,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0
AT1G01420,616,693,705,514,534,507
AT1G01430,2902,3338,3456,2409,2734,2491
AT1G01440,963,1112,1147,998,1160,1123
AT1G01448,541,578,688,563,570,595
AT1G01450,0,1,0,0,1,0
AT1G01453,82,114,128,24,29,26
AT1G01460,4,0,2,1,1,8
AT1G01470,1180,1312,1328,1265,1378,1197
AT1G01480,38,48,43,27,42,56
AT1G01490,1743,2139,2196,1760,1827,1932
AT1G01500,345,400,426,425,393,443
AT1G01510,1648,1837,1905,1942,1950,2023
AT1G01520,39,31,20,18,21,24
AT1G01530,2,0,0,0,1,1
AT1G01540,2377,2732,2766,2479,2662,2554
AT1G01550,5053,5752,6191,5239,5546,5589
AT1G01560,18,12,9,21,8,30
AT1G01570,129,128,126,133,134,129
AT1G01580,545,412,439,273,255,487
AT1G01590,3,4,7,2,3,2
AT1G01600,177,201,233,203,190,162
AT1G01610,3126,3437,3620,2963,3048,2889
AT1G01620,5783,6713,6746,5508,5926,5706
AT1G01630,1853,2223,2297,1810,1940,1815
AT1G01640,184,170,207,156,194,178
AT1G01650,1174,1332,1550,2055,2067,2100
AT1G01660,123,120,157,80,94,98
AT1G01670,42,37,32,27,42,45
AT1G01680,8,6,10,5,11,5
AT1G01690,255,288,353,397,435,474
AT1G01695,10,10,14,19,15,21
AT1G01700,42,59,59,51,33,52
AT1G01710,1021,1146,1190,1134,1193,1281
AT1G01715,92,114,130,120,117,136
AT1G01720,875,862,991,1188,1173,1352
AT1G01725,107,130,145,237,236,249
AT1G01730,663,753,745,944,966,998
AT1G01740,348,358,437,325,331,341
AT1G01750,639,695,880,544,579,511
AT1G01760,228,246,247,231,228,229
AT1G01770,843,968,1085,1018,1012,1048
AT1G01780,547,578,577,504,520,548
AT1G01790,6797,8427,8197,6730,7053,7465
AT1G01800,2008,2338,2372,2568,2761,2613
AT1G01810,24,23,29,22,30,29
AT1G01820,1777,2075,2359,2072,2152,2148
AT1G01830,466,533,600,605,560,641
AT1G01840,26,28,31,19,35,32
AT1G01860,627,780,768,731,731,694
AT1G01870,0,0,0,0,0,0
AT1G01880,70,87,94,105,89,102
AT1G01890,0,0,0,0,0,0
AT1G01900,425,507,543,522,587,551
AT1G01910,2299,2557,2879,2891,3062,2976
AT1G01920,903,946,1048,1125,1088,1081
AT1G01930,665,710,772,738,689,711
AT1G01940,694,752,824,815,795,852
AT1G01950,1217,1306,1486,1576,1668,1632
AT1G01960,5803,6408,7159,7389,7622,7445
AT1G01970,2028,2295,2323,1837,1940,1844
AT1G01980,2,7,7,13,4,7
AT1G01990,1056,1117,1243,1181,1165,1166
AT1G02000,412,486,512,594,583,637
AT1G02010,523,528,535,545,579,557
AT1G02020,675,776,858,897,897,839
AT1G02030,20,19,18,18,22,16
AT1G02040,2,3,3,2,2,0
AT1G02050,305,324,442,355,368,346
AT1G02060,416,523,581,485,465,528
AT1G02065,33,43,51,29,36,36
AT1G02067,0,0,0,0,1,1
AT1G02070,6,3,0,2,2,1
AT1G02080,6607,7110,7847,7656,7839,7764
AT1G02090,1663,1914,1983,2206,2058,2227
AT1G02100,1242,1375,1498,1327,1484,1460
AT1G02110,1098,1308,1430,1556,1399,1380
AT1G02120,2827,3082,3361,2968,3093,3228
AT1G02130,1552,1783,1950,1974,1980,1975
AT1G02136,0,0,0,0,0,0
AT1G02140,3581,4238,4325,4252,4477,4384
AT1G02145,894,1019,1126,961,1014,1065
AT1G02150,5563,6869,6939,6012,6280,6132
